thread,a,tentativa,medicao,binario,fase,r,x,f1,f2,tempo,tempo_hadamard,tempo_modexp,tempo_qft,success
10,136,3,148,10010100,0.144531,256,-531,1,1,0.0887512,0.0023989,0.0023545,0.0024273,0
5,203,3,343,01010111,0.334961,409,-531,1,1,0.0817249,0.0023107,0.0023482,0.0023791,0
2,197,3,993,11100001,0.969727,529,-531,1,1,0.0811162,0.0017696,0.0018195,0.0017207,0
4,345,3,49,00110001,0.0478516,209,-531,1,1,0.0865731,0.0017675,0.0017812,0.0016962,0
8,43,4,507,11111011,0.495117,307,-531,1,1,0.0796271,0.0024963,0.002353,0.0019212,0
3,290,3,127,01111111,0.124023,129,-531,1,1,0.0826563,0.0028292,0.0029233,0.0029543,0
0,291,4,957,10111101,0.93457,107,-531,1,1,0.104565,0.0031668,0.0025652,0.002345,0
6,514,4,674,10100010,0.658203,512,-531,1,1,0.100865,0.0026851,0.002759,0.0024545,0
7,472,3,699,10111011,0.682617,397,-531,1,1,0.0890115,0.0020187,0.0018191,0.0022565,0
10,136,4,866,01100010,0.845703,512,-531,1,1,0.0774791,0.0028159,0.0027286,0.0021887,0
9,326,4,483,11100011,0.47168,53,-531,1,1,0.10458,0.0025285,0.0023579,0.0023703,0
1,404,4,913,10010001,0.891602,369,-531,1,1,0.0975331,0.0018053,0.0017218,0.0020218,0
5,203,4,982,11010110,0.958984,512,-531,1,1,0.0879249,0.0022311,0.0019805,0.0017502,0
4,345,4,955,10111011,0.932617,371,-531,1,1,0.0766319,0.0021632,0.002452,0.0023406,0
8,43,5,86,01010110,0.0839844,512,-531,1,1,0.0841857,0.0016864,0.0017782,0.0016801,0
2,197,4,260,00000100,0.253906,256,-531,1,1,0.0983464,0.0024125,0.0027286,0.0026556,0
0,291,5,571,00111011,0.557617,269,-531,1,1,0.0805619,0.0024966,0.0025555,0.0023909,0
3,290,4,91,01011011,0.0888672,529,-531,1,1,0.0950418,0.0032003,0.0025206,0.0017187,0
7,472,4,599,01010111,0.584961,359,-531,1,1,0.0877579,0.0030903,0.0023689,0.0020678,0
10,136,5,630,01110110,0.615234,512,-531,1,1,0.0834615,0.0024392,0.0024404,0.0024465,0
6,514,5,439,10110111,0.428711,527,-531,1,1,0.0945979,0.002063,0.0021186,0.0021425,0
9,326,5,137,10001001,0.133789,441,-531,1,1,0.0832713,0.0028494,0.003082,0.0025199,0
1,404,5,776,00001000,0.757812,128,-531,1,1,0.0811567,0.0033153,0.0025837,0.0024356,0
5,203,5,945,10110001,0.922852,337,-531,1,1,0.089913,0.0017306,0.001708,0.0016864,0
8,43,6,394,10001010,0.384766,512,-531,1,1,0.0731825,0.00192,0.0021531,0.0024484,0
4,345,5,49,00110001,0.0478516,209,-531,1,1,0.103773,0.0025706,0.0024989,0.0024348,0
0,291,6,79,01001111,0.0771484,337,-531,1,1,0.0913269,0.0016845,0.0017231,0.0017456,0
7,472,5,292,00100100,0.285156,256,-531,1,1,0.0829277,0.0019666,0.0017813,0.0019619,0
3,290,5,748,11101100,0.730469,256,-531,1,1,0.0922767,0.002621,0.0025708,0.0026529,0
2,197,5,949,10110101,0.926758,355,-531,1,1,0.105575,0.0025979,0.0027405,0.0025173,0
6,514,6,315,00111011,0.307617,530,-531,1,1,0.0885261,0.00277,0.0033074,0.0029134,0
10,136,6,304,00110000,0.296875,64,-531,1,1,0.0970432,0.0029916,0.0025058,0.00324,0
1,404,6,562,00110010,0.548828,512,-531,1,1,0.0946385,0.0031166,0.0025718,0.00253,0
9,326,6,744,11101000,0.726562,128,-531,1,1,0.0960366,0.0028898,0.0021487,0.0028204,0
5,203,6,677,10100101,0.661133,301,-531,1,1,0.0860116,0.0023549,0.0026572,0.0022446,0
8,43,7,44,00101100,0.0429688,256,-531,1,1,0.100235,0.0028025,0.001977,0.0024061,0
0,291,7,652,10001100,0.636719,256,-531,1,1,0.0815615,0.0028217,0.0031278,0.0025572,0
7,472,6,349,01011101,0.34082,267,-531,1,1,0.0792229,0.0026524,0.0026567,0.0029562,0
4,345,6,866,01100010,0.845703,512,-531,1,1,0.111187,0.0030644,0.0025646,0.0028822,0
2,197,6,289,00100001,0.282227,287,-531,1,1,0.0881239,0.0023067,0.0020994,0.0029639,0
3,290,6,662,10010110,0.646484,512,-531,1,1,0.0985256,0.0030278,0.0033948,0.0037426,0
10,136,7,400,10010000,0.390625,64,-531,1,1,0.0889888,0.0037514,0.0037236,0.0029801,0
6,514,7,197,11000101,0.192383,525,-531,1,1,0.0974501,0.0031587,0.0021867,0.0023662,0
1,404,7,370,01110010,0.361328,512,-531,1,1,0.0919433,0.002838,0.0020796,0.0027385,0
9,326,7,78,01001110,0.0761719,512,-531,1,1,0.0914491,0.0029835,0.0023053,0.0016579,0
5,203,7,932,10100100,0.910156,256,-531,1,1,0.0933733,0.0024061,0.0023181,0.002731,0
8,43,8,710,11000110,0.693359,512,-531,1,1,0.0861563,0.0017998,0.0024145,0.0024109,0
7,472,7,1002,11101010,0.978516,512,-531,1,1,0.0826087,0.0017262,0.0017397,0.0017981,0
0,291,8,877,01101101,0.856445,411,-531,1,1,0.100282,0.0021275,0.0024191,0.0023885,0
2,197,7,472,11011000,0.460938,128,-531,1,1,0.0858691,0.0020421,0.0021441,0.0017893,0
4,345,7,941,10101101,0.918945,37,-531,1,1,0.0969289,0.0029005,0.0025358,0.0027165,0
10,136,8,315,00111011,0.307617,530,-531,1,1,0.0859645,0.0024614,0.0023395,0.0019066,0
6,514,8,509,11111101,0.49707,171,-531,1,1,0.0836017,0.0018894,0.0023588,0.0027129,0
3,290,7,469,11010101,0.458008,131,-531,1,1,0.102596,0.0037506,0.0031982,0.0031027,0
1,404,8,498,11110010,0.486328,512,-531,1,1,0.0817058,0.0028747,0.0027505,0.0026046,0
9,326,8,719,11001111,0.702148,47,-531,1,1,0.0896244,0.0028508,0.0028677,0.0017461,0
5,203,8,42,00101010,0.0410156,512,-531,1,1,0.0876309,0.0021752,0.0021616,0.0021343,0
8,43,9,474,11011010,0.462891,512,-531,1,1,0.0842291,0.0023086,0.002114,0.0016826,0
7,472,8,167,10100111,0.163086,233,-531,1,1,0.0803504,0.0020213,0.0023698,0.0021584,0
0,291,9,206,11001110,0.201172,512,-531,1,1,0.09522,0.0016715,0.0016597,0.0017018,0
2,197,8,796,00011100,0.777344,256,-531,1,1,0.0909625,0.0021847,0.0018987,0.0016849,0
10,136,9,472,11011000,0.460938,128,-531,1,1,0.083673,0.0020738,0.0025938,0.0022549,0
6,514,9,280,00011000,0.273438,128,-531,1,1,0.0939717,0.0026849,0.0023863,0.0025186,0
1,404,9,712,11001000,0.695312,128,-531,1,1,0.0844257,0.0022659,0.0022693,0.0022405,0
4,345,8,482,11100010,0.470703,512,-531,1,1,0.108783,0.0031125,0.0024208,0.0028032,0
9,326,9,373,01110101,0.364258,291,-531,1,1,0.0884653,0.0021262,0.00252,0.0021733,0
3,290,8,1007,11101111,0.983398,241,-531,1,1,0.102159,0.0027058,0.0029257,0.0027754,0
5,203,9,686,10101110,0.669922,512,-531,1,1,0.082816,0.0036686,0.0028573,0.0021444,0
8,43,10,175,10101111,0.170898,433,-531,1,1,0.0822747,0.0021351,0.0018124,0.0016699,0
7,472,9,394,10001010,0.384766,512,-531,1,1,0.0916716,0.0021341,0.0021485,0.0021015,0
2,197,9,13,00001101,0.0126953,315,-531,1,1,0.0851852,0.0023963,0.0023759,0.0023787,0
0,291,10,996,11100100,0.972656,256,-531,1,1,0.0953198,0.0020582,0.0023467,0.0024383,0
1,404,10,103,01100111,0.100586,517,-531,1,1,0.0824756,0.0020373,0.0019778,0.0019249,0
10,136,10,737,11100001,0.719727,289,-531,1,1,0.0961941,0.0026534,0.0026594,0.0025971,0
9,326,10,857,01011001,0.836914,233,-531,1,1,0.0807761,0.0024451,0.0022454,0.0017549,0
